INFO:root:epoch 403, accuracy is 0.04
INFO:root:epoch 405, accuracy is 0.10
INFO:root:epoch 407, accuracy is 0.09
INFO:root:epoch 409, accuracy is 0.06
INFO:root:epoch 411, accuracy is 0.04
INFO:root:epoch 413, accuracy is 0.08
INFO:root:epoch 415, accuracy is 0.12
INFO:root:epoch 417, accuracy is 0.09
INFO:root:epoch 419, accuracy is 0.12
INFO:root:epoch 421, accuracy is 0.09
INFO:root:epoch 423, accuracy is 0.08
INFO:root:epoch 425, accuracy is 0.11
INFO:root:epoch 427, accuracy is 0.12
INFO:root:epoch 429, accuracy is 0.10
INFO:root:epoch 431, accuracy is 0.05
INFO:root:epoch 433, accuracy is 0.08
INFO:root:epoch 435, accuracy is 0.06
INFO:root:epoch 437, accuracy is 0.16
INFO:root:epoch 439, accuracy is 0.09
INFO:root:epoch 441, accuracy is 0.10
INFO:root:epoch 443, accuracy is 0.09
INFO:root:epoch 445, accuracy is 0.08
INFO:root:epoch 447, accuracy is 0.09
INFO:root:epoch 449, accuracy is 0.08
INFO:root:epoch 451, accuracy is 0.05
INFO:root:epoch 453, accuracy is 0.08
INFO:root:epoch 455, accuracy is 0.10
INFO:root:epoch 457, accuracy is 0.06
INFO:root:epoch 459, accuracy is 0.05
INFO:root:epoch 461, accuracy is 0.09
INFO:root:epoch 463, accuracy is 0.06
INFO:root:epoch 465, accuracy is 0.06
INFO:root:epoch 467, accuracy is 0.09
INFO:root:epoch 469, accuracy is 0.09
INFO:root:epoch 471, accuracy is 0.07
INFO:root:epoch 473, accuracy is 0.07
INFO:root:epoch 475, accuracy is 0.08
INFO:root:epoch 477, accuracy is 0.05
INFO:root:epoch 479, accuracy is 0.15
INFO:root:epoch 481, accuracy is 0.09
INFO:root:epoch 483, accuracy is 0.07
INFO:root:epoch 485, accuracy is 0.10
INFO:root:epoch 487, accuracy is 0.10
INFO:root:epoch 489, accuracy is 0.05
INFO:root:epoch 491, accuracy is 0.09
INFO:root:epoch 493, accuracy is 0.08
INFO:root:epoch 495, accuracy is 0.08
INFO:root:epoch 497, accuracy is 0.06
INFO:root:epoch 499, accuracy is 0.06
INFO:root:epoch 501, accuracy is 0.11
INFO:root:epoch 503, accuracy is 0.11
INFO:root:epoch 505, accuracy is 0.08
INFO:root:epoch 507, accuracy is 0.09
INFO:root:epoch 509, accuracy is 0.06
INFO:root:epoch 511, accuracy is 0.09
INFO:root:epoch 513, accuracy is 0.07
INFO:root:epoch 515, accuracy is 0.05
INFO:root:epoch 517, accuracy is 0.08
INFO:root:epoch 519, accuracy is 0.12
INFO:root:epoch 521, accuracy is 0.07
INFO:root:epoch 523, accuracy is 0.08
INFO:root:epoch 525, accuracy is 0.06
INFO:root:epoch 527, accuracy is 0.05
INFO:root:epoch 529, accuracy is 0.15
INFO:root:epoch 531, accuracy is 0.06
INFO:root:epoch 533, accuracy is 0.09
INFO:root:epoch 535, accuracy is 0.09
INFO:root:epoch 537, accuracy is 0.06
INFO:root:epoch 539, accuracy is 0.09
INFO:root:epoch 541, accuracy is 0.06
INFO:root:epoch 543, accuracy is 0.12
INFO:root:epoch 545, accuracy is 0.09
INFO:root:epoch 547, accuracy is 0.08
INFO:root:epoch 549, accuracy is 0.11
INFO:root:epoch 551, accuracy is 0.08
INFO:root:epoch 553, accuracy is 0.05
INFO:root:epoch 555, accuracy is 0.12
INFO:root:epoch 557, accuracy is 0.07
INFO:root:epoch 559, accuracy is 0.11
INFO:root:epoch 561, accuracy is 0.07
INFO:root:epoch 563, accuracy is 0.08
INFO:root:epoch 565, accuracy is 0.08
INFO:root:epoch 567, accuracy is 0.09
INFO:root:epoch 569, accuracy is 0.09
INFO:root:epoch 571, accuracy is 0.06
INFO:root:epoch 573, accuracy is 0.08
INFO:root:epoch 575, accuracy is 0.09
INFO:root:epoch 577, accuracy is 0.06
INFO:root:epoch 579, accuracy is 0.08
INFO:root:epoch 581, accuracy is 0.06
INFO:root:epoch 583, accuracy is 0.05
INFO:root:epoch 585, accuracy is 0.12
INFO:root:epoch 587, accuracy is 0.13
INFO:root:epoch 589, accuracy is 0.11
INFO:root:epoch 591, accuracy is 0.11
INFO:root:epoch 593, accuracy is 0.09
INFO:root:epoch 595, accuracy is 0.14
INFO:root:epoch 597, accuracy is 0.09
INFO:root:epoch 599, accuracy is 0.07
INFO:root:epoch 601, accuracy is 0.06
INFO:root:epoch 603, accuracy is 0.08
INFO:root:epoch 605, accuracy is 0.09
INFO:root:epoch 607, accuracy is 0.07
INFO:root:epoch 609, accuracy is 0.14
INFO:root:epoch 611, accuracy is 0.08
INFO:root:epoch 613, accuracy is 0.12
INFO:root:epoch 615, accuracy is 0.09
INFO:root:epoch 617, accuracy is 0.08
INFO:root:epoch 619, accuracy is 0.08
INFO:root:epoch 621, accuracy is 0.11
INFO:root:epoch 623, accuracy is 0.08
INFO:root:epoch 625, accuracy is 0.09
INFO:root:epoch 627, accuracy is 0.09
INFO:root:epoch 629, accuracy is 0.05
INFO:root:epoch 631, accuracy is 0.11
INFO:root:epoch 633, accuracy is 0.13
INFO:root:epoch 635, accuracy is 0.12
INFO:root:epoch 637, accuracy is 0.08
INFO:root:epoch 639, accuracy is 0.10
INFO:root:epoch 641, accuracy is 0.09
INFO:root:epoch 643, accuracy is 0.13
INFO:root:epoch 645, accuracy is 0.06
INFO:root:epoch 647, accuracy is 0.10
INFO:root:epoch 649, accuracy is 0.05
INFO:root:epoch 651, accuracy is 0.12
INFO:root:epoch 653, accuracy is 0.06
INFO:root:epoch 655, accuracy is 0.09
INFO:root:epoch 657, accuracy is 0.12
INFO:root:epoch 659, accuracy is 0.12
INFO:root:epoch 661, accuracy is 0.17
INFO:root:epoch 663, accuracy is 0.09
INFO:root:epoch 665, accuracy is 0.09
INFO:root:epoch 667, accuracy is 0.15
INFO:root:epoch 669, accuracy is 0.15
INFO:root:epoch 671, accuracy is 0.08
INFO:root:epoch 673, accuracy is 0.14
INFO:root:epoch 675, accuracy is 0.05
INFO:root:epoch 677, accuracy is 0.09
INFO:root:epoch 679, accuracy is 0.09
INFO:root:epoch 681, accuracy is 0.12
INFO:root:epoch 683, accuracy is 0.15
INFO:root:epoch 685, accuracy is 0.12
INFO:root:epoch 687, accuracy is 0.16
INFO:root:epoch 689, accuracy is 0.09
INFO:root:epoch 691, accuracy is 0.09
INFO:root:epoch 693, accuracy is 0.11
INFO:root:epoch 695, accuracy is 0.10
INFO:root:epoch 697, accuracy is 0.05
INFO:root:epoch 699, accuracy is 0.12
INFO:root:epoch 701, accuracy is 0.09
INFO:root:epoch 703, accuracy is 0.11
INFO:root:epoch 705, accuracy is 0.09
INFO:root:epoch 707, accuracy is 0.16
INFO:root:epoch 709, accuracy is 0.13
INFO:root:epoch 711, accuracy is 0.12
INFO:root:epoch 713, accuracy is 0.16
INFO:root:epoch 715, accuracy is 0.10
INFO:root:epoch 717, accuracy is 0.11
INFO:root:epoch 719, accuracy is 0.13
INFO:root:epoch 721, accuracy is 0.09
INFO:root:epoch 723, accuracy is 0.09
INFO:root:epoch 725, accuracy is 0.13
INFO:root:epoch 727, accuracy is 0.12
INFO:root:epoch 729, accuracy is 0.09
INFO:root:epoch 731, accuracy is 0.12
INFO:root:epoch 733, accuracy is 0.05
INFO:root:epoch 735, accuracy is 0.14
INFO:root:epoch 737, accuracy is 0.08
INFO:root:epoch 739, accuracy is 0.15
INFO:root:epoch 741, accuracy is 0.14
INFO:root:epoch 743, accuracy is 0.08
INFO:root:epoch 745, accuracy is 0.12
INFO:root:epoch 747, accuracy is 0.12
INFO:root:epoch 749, accuracy is 0.14
INFO:root:epoch 751, accuracy is 0.12
INFO:root:epoch 753, accuracy is 0.10
INFO:root:epoch 755, accuracy is 0.16
INFO:root:epoch 757, accuracy is 0.12
INFO:root:epoch 759, accuracy is 0.08
INFO:root:epoch 761, accuracy is 0.13
INFO:root:epoch 763, accuracy is 0.11
INFO:root:epoch 765, accuracy is 0.13
INFO:root:epoch 767, accuracy is 0.08
